0;38
0;67
0;77
0;95
0;141
0;278
0;285
0;327
0;329
0;370
0;373
0;416
0;434
0;437
0;465
0;486
1;59
1;94
1;99
1;163
1;169
1;218
1;324
1;368
1;409
1;479
2;36
2;55
2;67
2;71
2;80
2;250
2;336
2;356
2;358
2;419
2;426
3;13
3;25
3;93
3;100
3;112
3;121
3;156
3;161
3;322
3;357
3;448
4;36
4;70
4;83
4;139
4;151
4;164
4;176
4;182
4;186
4;206
4;343
4;407
4;413
4;454
5;60
5;97
5;110
5;122
5;139
5;163
5;166
5;233
5;266
5;321
5;408
5;451
5;499
6;11
6;84
6;119
6;175
6;341
6;344
6;348
6;358
6;368
6;394
6;400
6;426
6;444
6;462
6;472
6;476
6;489
7;32
7;58
7;94
7;146
7;160
7;176
7;283
7;299
7;305
7;329
7;403
7;419
7;483
8;22
8;41
8;142
8;204
8;276
8;342
8;351
8;353
8;365
9;31
9;79
9;119
9;143
9;188
9;271
9;325
9;356
9;483
10;23
10;40
10;54
10;141
10;161
10;187
10;239
10;258
10;330
10;342
10;344
10;403
10;419
10;440
10;465
10;470
11;14
11;26
11;176
11;193
11;199
11;217
11;247
11;254
11;350
11;358
11;365
11;393
11;447
11;475
12;101
12;116
12;391
12;461
12;481
12;500
13;21
13;41
13;151
13;187
13;196
13;221
13;228
13;248
13;266
13;283
13;288
13;303
13;340
13;346
13;410
13;435
13;485
14;44
14;51
14;80
14;125
14;139
14;310
14;318
14;370
14;388
14;407
14;444
14;471
14;474
15;21
15;66
15;184
15;209
15;280
15;282
15;300
15;452
15;457
15;497
15;498
16;35
16;68
16;109
16;142
16;168
16;251
16;278
16;317
16;410
16;427
16;476
16;485
17;43
17;58
17;79
17;213
17;277
17;315
17;329
17;372
17;385
17;415
17;421
17;422
17;486
17;489
18;50
18;99
18;141
18;239
18;245
18;252
18;498
19;79
19;87
19;129
19;133
19;148
19;197
19;200
19;262
19;265
19;271
19;398
19;434
19;455
19;465
19;476
19;486
19;493
20;24
20;26
20;51
20;122
20;140
20;178
20;203
20;228
20;476
21;28
21;67
21;89
21;93
21;107
21;199
21;207
21;209
21;268
21;288
21;347
21;377
21;406
21;411
22;200
22;203
22;259
22;302
22;363
22;397
22;483
23;24
23;38
23;39
23;51
23;130
23;207
23;213
23;218
23;297
23;333
23;354
23;374
23;400
23;416
24;34
24;56
24;133
24;180
24;181
24;269
24;290
24;387
24;429
24;444
24;450
24;452
25;37
25;58
25;84
25;125
25;202
25;222
25;251
25;329
25;336
25;351
25;381
25;405
25;419
25;463
25;477
25;496
26;48
26;120
26;174
26;183
26;189
26;220
26;250
26;269
26;279
26;280
26;293
26;300
26;322
26;345
26;347
26;386
26;394
26;454
26;490
27;34
27;42
27;128
27;139
27;180
27;212
27;261
27;270
27;289
27;346
27;362
27;388
27;419
27;423
27;467
28;54
28;117
28;184
28;249
28;274
28;276
28;355
28;436
28;443
28;477
29;42
29;43
29;90
29;99
29;271
29;296
29;335
29;364
29;391
29;393
29;438
30;32
30;40
30;56
30;76
30;177
30;240
30;247
30;262
30;272
30;303
30;322
30;353
30;374
30;420
30;430
30;456
